seriali	serialh	surveyyr	Outcome	IOut	ScrType	DMHSize7	Sex	AgeR	MarSt2_r	LiveW2	WrkStat	PTWork	EverWk	natidgby5_r	natidniy5_r	natiduky5	ethgrp5	ethgrp2	RelHRPr	Rel01r	Rel02r	Rel03r	Rel04r	Rel05r	Rel06r	Rel07r	Country
100709282	10070928	10	110	-1	1	4	1	38	2	-1	2	-1	-1	4	-1	5	1	1	0	1	0	2	2	-1	-1	-1	101
100709283	10070928	10	110	-1	1	4	2	4	-1	-1	3	-1	-1	4	-1	5	1	1	3	3	3	0	4	-1	-1	-1	101
100709284	10070928	10	110	110	1	4	2	2	-1	-1	3	-1	-1	4	-1	5	1	1	3	3	3	4	0	-1	-1	-1	101
100710091	10071009	10	110	110	1	4	1	41	2	-1	2	-1	-1	1	-1	1	1	1	0	0	1	2	2	-1	-1	-1	101
100710092	10071009	10	110	-1	1	4	2	41	2	-1	2	-1	-1	1	-1	1	1	1	1	1	0	2	2	-1	-1	-1	101
100710093	10071009	10	110	110	1	4	1	18	1	2	2	-1	-1	1	-1	1	1	1	3	3	3	0	4	-1	-1	-1	101
100710094	10071009	10	110	-1	1	4	1	16	1	2	1	2	2	1	-1	1	1	1	3	3	3	4	0	-1	-1	-1	101
100710101	10071010	10	210	110	1	2	2	48	3	2	2	-1	-1	4	-1	5	1	1	0	0	2	-1	-1	-1	-1	-1	101
100710102	10071010	10	210	440	1	2	1	18	1	2	3	-1	1	4	-1	5	1	1	3	3	0	-1	-1	-1	-1	-1	101
100710191	10071019	10	110	-1	2	5	2	40	2	-1	2	-1	-1	1	-1	1	1	1	1	0	1	2	2	2	-1	-1	101
100710192	10071019	10	110	-1	2	5	1	41	2	-1	2	-1	-1	1	-1	1	1	1	0	1	0	2	2	2	-1	-1	101
100710193	10071019	10	110	-1	2	5	1	7	-1	-1	1	-1	-1	1	-1	1	1	1	3	3	3	0	4	4	-1	-1	101
100710194	10071019	10	110	-1	2	5	1	5	-1	-1	1	-1	-1	1	-1	1	1	1	3	3	3	4	0	4	-1	-1	101
100710195	10071019	10	110	110	2	5	1	3	-1	-1	3	-1	-1	1	-1	1	1	1	3	3	3	4	4	0	-1	-1	101
100710221	10071022	10	110	-1	2	4	2	51	2	-1	2	-1	-1	1	-1	1	1	1	1	0	1	2	2	-1	-1	-1	101
100710222	10071022	10	110	-1	2	4	1	47	2	-1	2	-1	-1	1	-1	1	1	1	0	1	0	2	2	-1	-1	-1	101
100710223	10071022	10	110	110	2	4	2	13	-1	-1	1	-1	-1	1	-1	1	1	1	3	3	3	0	4	-1	-1	-1	101
100710224	10071022	10	110	-1	2	4	1	11	-1	-1	1	-1	-1	1	-1	1	1	1	3	3	3	4	0	-1	-1	-1	101
100710231	10071023	10	110	-1	1	5	2	37	2	-1	2	-1	-1	1	-1	1	1	1	1	0	1	2	2	2	-1	-1	101
100710232	10071023	10	110	110	1	5	1	49	2	-1	2	-1	-1	1	-1	1	1	1	0	1	0	2	2	2	-1	-1	101
100710233	10071023	10	110	110	1	5	2	2	-1	-1	3	-1	-1	1	-1	1	1	1	3	3	3	0	4	4	-1	-1	101
100710234	10071023	10	110	-1	1	5	2	4	-1	-1	3	-1	-1	1	-1	1	1	1	3	3	3	4	0	4	-1	-1	101
100710235	10071023	10	110	-1	1	5	2	 	-1	-1	3	-1	-1	1	-1	1	1	1	3	3	3	4	4	0	-1	-1	101
100710241	10071024	10	110	110	1	1	2	78	5	-1	3	-1	1	1	-1	1	1	1	0	0	-1	-1	-1	-1	-1	-1	101
100710281	10071028	10	110	110	1	2	2	51	2	-1	2	-1	-1	4	-1	5	1	1	1	0	1	-1	-1	-1	-1	-1	101
100710282	10071028	10	110	-1	1	2	1	52	2	-1	2	-1	-1	4	-1	5	1	1	0	1	0	-1	-1	-1	-1	-1	101
100711011	10071101	10	110	110	1	2	1	64	2	-1	2	-1	-1	4	-1	5	1	1	1	0	1	-1	-1	-1	-1	-1	101
100711012	10071101	10	110	-1	1	2	2	60	2	-1	2	-1	-1	4	-1	5	1	1	0	1	0	-1	-1	-1	-1	-1	101
100711071	10071107	10	110	-1	2	3	1	58	5	2	2	-1	-1	1	-1	1	1	1	0	0	2	2	-1	-1	-1	-1	101
100711072	10071107	10	110	-1	2	3	1	23	1	2	2	-1	-1	1	-1	1	1	1	3	3	0	4	-1	-1	-1	-1	101
100711073	10071107	10	110	110	2	3	2	17	1	2	1	1	-1	1	-1	1	1	1	3	3	4	0	-1	-1	-1	-1	101
